"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","82","","1765","7924","n/e","n/e","0","29","n/e","33","n/e","3696"
"Norway (NO)","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","83","","1814","8679","n/e","n/e","0","30","n/e","39","n/e","3676"
"Norway (NO)","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","0","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","92","","1788","9831","n/e","n/e","0","26","n/e","38","n/e","3621"
"Norway (NO)","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","85","","1792","10068","n/e","n/e","0","29","n/e","39","n/e","3626"
"Norway (NO)","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","122","","1818","10790","n/e","n/e","0","32","n/e","37","n/e","3661"
"Norway (NO)","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","138","","1832","11377","n/e","n/e","0","29","n/e","37","n/e","3659"
"Norway (NO)","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","0","n/e","n/e","194","n/e","n/e","n/e","n/e","n/e","235","","1848","12429","n/e","n/e","0","29","n/e","38","n/e","3592"
"Norway (NO)","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","295","","1862","13324","n/e","n/e","0","28","n/e","38","n/e","3605"
"Norway (NO)","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","188","","1859","12432","n/e","n/e","0","29","n/e","35","n/e","3638"
"Norway (NO)","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","100","","1862","11734","n/e","n/e","0","30","n/e","35","n/e","3574"
"Norway (NO)","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","92","","1828","10191","n/e","n/e","0","25","n/e","35","n/e","3534"
"Norway (NO)","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","0","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","84","","1819","9072","n/e","n/e","0","29","n/e","35","n/e","3575"
"Norway (NO)","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","83","","1796","8278","n/e","n/e","0","26","n/e","34","n/e","3583"
"Norway (NO)","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","82","","1760","7948","n/e","n/e","0","30","n/e","31","n/e","3594"
"Norway (NO)","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","83","","1766","7512","n/e","n/e","0","30","n/e","30","n/e","3537"
"Norway (NO)","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","84","","1750","7156","n/e","n/e","0","30","n/e","29","n/e","3581"
"Norway (NO)","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","83","","1764","7077","n/e","n/e","0","30","n/e","30","n/e","3557"
"Norway (NO)","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","83","","1785","7014","n/e","n/e","0","31","n/e","30","n/e","3404"
"Norway (NO)","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","84","","1792","6937","n/e","n/e","0","30","n/e","30","n/e","3339"
"Norway (NO)","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","85","","1790","7744","n/e","n/e","0","30","n/e","30","n/e","3279"
"Norway (NO)","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","134","","1807","8883","n/e","n/e","0","32","n/e","31","n/e","3371"
"Norway (NO)","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","182","","1855","11122","n/e","n/e","0","30","n/e","35","n/e","3391"
"Norway (NO)","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","326","","1926","13397","n/e","n/e","0","32","n/e","29","n/e","3327"
"Norway (NO)","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","0","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","494","","1946","14900","n/e","n/e","0","29","n/e","20","n/e","3286"
"Norway (NO)","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","519","","1996","16930","n/e","n/e","0","27","n/e","20","n/e","3253"
"Norway (NO)","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","642","","2036","17543","n/e","n/e","0","31","n/e","20","n/e","3234"
"Norway (NO)","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","670","","2112","18350","n/e","n/e","0","31","n/e","19","n/e","3213"
"Norway (NO)","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","669","","2137","18435","n/e","n/e","0","27","n/e","20","n/e","3167"
"Norway (NO)","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","659","","2150","18354","n/e","n/e","0","26","n/e","19","n/e","3172"
"Norway (NO)","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","660","","2156","18995","n/e","n/e","0","26","n/e","18","n/e","3097"
"Norway (NO)","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","676","","2180","19189","n/e","n/e","0","31","n/e","19","n/e","3089"
"Norway (NO)","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","0","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","662","","2210","18821","n/e","n/e","0","32","n/e","21","n/e","3043"
"Norway (NO)","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","0","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","628","","2147","16850","n/e","n/e","0","28","n/e","24","n/e","2989"
"Norway (NO)","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","0","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","501","","2074","14365","n/e","n/e","0","27","n/e","33","n/e","2906"
"Norway (NO)","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","367","","2052","13339","n/e","n/e","0","28","n/e","34","n/e","2826"
"Norway (NO)","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","327","","2008","12306","n/e","n/e","0","22","n/e","34","n/e","2830"
"Norway (NO)","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","142","","1980","11386","n/e","n/e","0","27","n/e","33","n/e","2865"
"Norway (NO)","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","112","","1960","10613","n/e","n/e","0","33","n/e","32","n/e","2797"
"Norway (NO)","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","68","","1939","10123","n/e","n/e","0","57","n/e","34","n/e","2786"
"Norway (NO)","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","68","","1943","9825","n/e","n/e","0","54","n/e","34","n/e","2848"
"Norway (NO)","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","69","","1939","10070","n/e","n/e","0","54","n/e","35","n/e","2931"
"Norway (NO)","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","68","","1907","9512","n/e","n/e","0","56","n/e","39","n/e","2933"
"Norway (NO)","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","68","","1915","9384","n/e","n/e","0","52","n/e","38","n/e","2976"
"Norway (NO)","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","69","","1931","10113","n/e","n/e","0","53","n/e","35","n/e","3032"
"Norway (NO)","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","90","","1976","11683","n/e","n/e","0","57","n/e","35","n/e","3052"
"Norway (NO)","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","267","","2025","13536","n/e","n/e","0","55","n/e","34","n/e","3086"
"Norway (NO)","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","344","","2062","14188","n/e","n/e","0","56","n/e","29","n/e","3062"
"Norway (NO)","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","0","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","449","","2079","15146","n/e","n/e","0","57","n/e","31","n/e","3018"
"Norway (NO)","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","464","","2069","15660","n/e","n/e","0","56","n/e","29","n/e","2984"
"Norway (NO)","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","452","","2083","15062","n/e","n/e","0","54","n/e","25","n/e","3077"
"Norway (NO)","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","456","","2077","14964","n/e","n/e","0","55","n/e","30","n/e","3095"
"Norway (NO)","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","430","","2062","14766","n/e","n/e","0","55","n/e","33","n/e","3089"
"Norway (NO)","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","479","","2048","15598","n/e","n/e","0","57","n/e","30","n/e","3043"
"Norway (NO)","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","506","","2099","16884","n/e","n/e","0","56","n/e","22","n/e","3081"
"Norway (NO)","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","595","","2126","18220","n/e","n/e","0","56","n/e","26","n/e","3093"
"Norway (NO)","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","708","","2169","19686","n/e","n/e","0","56","n/e","29","n/e","3083"
"Norway (NO)","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","787","","2182","20073","n/e","n/e","0","55","n/e","31","n/e","3081"
"Norway (NO)","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","735","","2174","19211","n/e","n/e","0","52","n/e","24","n/e","3054"
"Norway (NO)","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","643","","2151","17447","n/e","n/e","0","54","n/e","24","n/e","3051"
"Norway (NO)","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","493","","2099","15802","n/e","n/e","0","51","n/e","27","n/e","2987"
"Norway (NO)","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","361","","2098","14016","n/e","n/e","0","57","n/e","33","n/e","2932"
"Norway (NO)","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","289","","2041","11920","n/e","n/e","0","56","n/e","34","n/e","2845"
"Norway (NO)","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","297","","1973","11300","n/e","n/e","0","54","n/e","36","n/e","2750"
"Norway (NO)","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","284","","1958","10990","n/e","n/e","0","56","n/e","38","n/e","2741"
"Norway (NO)","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","207","","1939","11064","n/e","n/e","0","56","n/e","37","n/e","2752"
"Norway (NO)","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","147","","1937","11199","n/e","n/e","0","56","n/e","36","n/e","2638"
"Norway (NO)","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","156","","1960","11087","n/e","n/e","0","58","n/e","36","n/e","2688"
"Norway (NO)","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","307","","2003","11745","n/e","n/e","0","56","n/e","34","n/e","2713"
"Norway (NO)","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","587","","2052","15247","n/e","n/e","0","56","n/e","29","n/e","2746"
"Norway (NO)","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","832","","2150","19428","n/e","n/e","0","52","n/e","32","n/e","2846"
"Norway (NO)","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","925","","2188","20065","n/e","n/e","0","55","n/e","30","n/e","2819"
"Norway (NO)","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","0","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","894","","2237","19994","n/e","n/e","0","55","n/e","27","n/e","2768"
"Norway (NO)","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","829","","2232","20819","n/e","n/e","0","54","n/e","30","n/e","2747"
"Norway (NO)","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","824","","2229","20270","n/e","n/e","0","56","n/e","23","n/e","2634"
"Norway (NO)","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","819","","2267","20093","n/e","n/e","0","61","n/e","24","n/e","2543"
"Norway (NO)","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","806","","2278","20123","n/e","n/e","0","54","n/e","24","n/e","2366"
"Norway (NO)","04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST)","0","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","824","","2286","21164","n/e","n/e","0","44","n/e","28","n/e","2255"
"Norway (NO)","04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","824","","2295","21491","n/e","n/e","0","52","n/e","25","n/e","2062"
"Norway (NO)","04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","836","","2322","21710","n/e","n/e","0","57","n/e","25","n/e","1909"
"Norway (NO)","04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","953","","2353","21652","n/e","n/e","0","57","n/e","25","n/e","1809"
"Norway (NO)","04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","968","","2332","21609","n/e","n/e","0","57","n/e","24","n/e","1710"
"Norway (NO)","04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST)","0","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","970","","2337","21677","n/e","n/e","0","53","n/e","24","n/e","1614"
"Norway (NO)","04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","840","","2298","21587","n/e","n/e","0","55","n/e","26","n/e","1720"
"Norway (NO)","04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","824","","2292","20912","n/e","n/e","0","56","n/e","26","n/e","1767"
"Norway (NO)","04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST)","0","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","819","","2247","20371","n/e","n/e","0","58","n/e","25","n/e","1786"
"Norway (NO)","04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","706","","2236","20100","n/e","n/e","0","59","n/e","27","n/e","1823"
"Norway (NO)","05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","690","","2179","18539","n/e","n/e","0","58","n/e","21","n/e","1823"
"Norway (NO)","05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","683","","2160","17815","n/e","n/e","0","58","n/e","17","n/e","1853"
"Norway (NO)","05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","682","","2159","17209","n/e","n/e","0","57","n/e","17","n/e","1794"
"Norway (NO)","05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","622","","2147","16807","n/e","n/e","0","56","n/e","17","n/e","1665"
"Norway (NO)","05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","649","","2149","16863","n/e","n/e","0","52","n/e","17","n/e","1636"
"Norway (NO)","05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","674","","2166","17374","n/e","n/e","0","54","n/e","16","n/e","1588"
"Norway (NO)","05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST)","0","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","775","","2197","18529","n/e","n/e","0","57","n/e","20","n/e","1571"
"Norway (NO)","05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","818","","2264","20091","n/e","n/e","0","58","n/e","16","n/e","1574"
"Norway (NO)","05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","808","","2294","20228","n/e","n/e","0","57","n/e","16","n/e","1538"
"Norway (NO)","05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","778","","2292","20378","n/e","n/e","0","56","n/e","16","n/e","1518"
"Norway (NO)","05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","781","","2306","20655","n/e","n/e","0","50","n/e","16","n/e","1409"
"Norway (NO)","05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","772","","2303","20751","n/e","n/e","0","48","n/e","16","n/e","1237"
"Norway (NO)","05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST)","0","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","772","","2340","19883","n/e","n/e","0","58","n/e","16","n/e","1064"
"Norway (NO)","05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST)","0","n/e","n/e","205","n/e","n/e","n/e","n/e","n/e","774","","2315","19797","n/e","n/e","0","51","n/e","16","n/e","936"
"Norway (NO)","05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST)","0","n/e","n/e","205","n/e","n/e","n/e","n/e","n/e","775","","2317","20044","n/e","n/e","0","50","n/e","15","n/e","845"
"Norway (NO)","05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","776","","2332","20012","n/e","n/e","0","56","n/e","15","n/e","801"
"Norway (NO)","05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST)","0","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","777","","2380","19803","n/e","n/e","0","29","n/e","15","n/e","817"
"Norway (NO)","05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST)","0","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","775","","2403","19764","n/e","n/e","0","30","n/e","15","n/e","759"
"Norway (NO)","05.01.2024 18:00 - 05.01.2024 19:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","774","","2377","19715","n/e","n/e","0","57","n/e","15","n/e","718"
"Norway (NO)","05.01.2024 19:00 - 05.01.2024 20:00 (CET/CEST)","0","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","785","","2313","20375","n/e","n/e","0","58","n/e","14","n/e","674"
"Norway (NO)","05.01.2024 20:00 - 05.01.2024 21:00 (CET/CEST)","0","n/e","n/e","205","n/e","n/e","n/e","n/e","n/e","774","","2309","20531","n/e","n/e","0","57","n/e","15","n/e","617"
"Norway (NO)","05.01.2024 21:00 - 05.01.2024 22:00 (CET/CEST)","0","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","763","","2270","20782","n/e","n/e","0","57","n/e","19","n/e","569"
"Norway (NO)","05.01.2024 22:00 - 05.01.2024 23:00 (CET/CEST)","0","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","787","","2235","20637","n/e","n/e","0","57","n/e","21","n/e","481"
